"date";"Reel";"Simule"
7,0;275,4500000797291;275,8409303510619
7,125;275,7499995892849;275,2215272150346
7,25;275,9499995765252;274,5174935850999
7,375;279,2499998372946;275,0124415421562
7,5;280,75000021290134;276,94774951571446
7,625;280,75000021290134;278,2513641904292
7,75;280,3499997671162;277,3000566275407
7,875;277,64999993937226;276,9760180231798
8,0;276,8499999904111;278,0912136350193
8,125;277,2499999648917;277,619463898889
8,25;277,0499999776514;277,18910294700305
8,375;276,8499999904111;277,82456538748795
8,5;277,64999993937226;279,9350888122016
8,625;276,8499999904111;280,83763185260426
8,75;274,05000016904705;279,38249067268254
8,875;275,34999961480435;278,48956150915797
9,0;274,3499996786029;275,16890345618225
9,125;274,3499996786029;274,60371681187104
9,25;273,74999971688203;274,35085724403876
9,375;273,9499997041223;275,16276817792505
9,5;273,85000018180676;277,01117853474693
9,625;274,6500001307679;277,80609394102186
9,75;273,85000018180676;276,4229255520097
9,875;273,74999971688203;276,0981921348002
10,0;273,14999975516116;273,79622655666014
10,125;271,6500003221636;273,24357031384847
10,25;272,1499998189597;272,79024635633624
10,375;272,1499998189597;273,622074755526
10,5;275,2500000924888;275,4272439682653
10,625;275,0500001052485;276,55131665685815
10,75;273,4500002073262;275,54528620392756
10,875;273,54999972964174;275,29250886050494
11,0;274,05000016904705;273,16861016982205
11,125;274,45000014352763;272,54883024147586
11,25;274,94999964032377;272,02113125688146
11,375;275,9499995765252;272,97162549593133
11,5;279,64999981177516;275,2331424057507
11,625;280,04999978625574;276,79739871958463
11,75;279,14999984367444;275,6731142901817
11,875;279,2499998372946;274,94774280617173
12,0;279,9499997926356;278,45008079580066
12,125;280,4500002320409;277,7161170550631
12,25;280,8500002065215;277,11655062948955
12,375;281,64999991983035;277,5445364038319
12,5;285,4500000014178;279,4149282556633
12,625;285,04999999748065;280,83697338806616
12,75;284,0500000023661;279,5519828664034
12,875;283,05000006616467;278,8175567574608
13,0;282,4500001044438;282,65166564624377
13,125;281,7499999134505;281,5987967638038
13,25;281,44999993259006;281,2790372825351
13,375;281,84999990707064;281,3671785609136
13,5;282,1499998879311;283,14947356393054
13,625;281,44999993259006;283,85412446572707
13,75;280,24999977349603;282,49469193819414
13,875;279,3499998309147;281,83796165253113
14,0;279,0499998500543;279,962542362173
14,125;277,5499999457521;279,1832119749882
14,25;276,25000002869024;278,9005591508904
14,375;277,0499999776514;279,3359834654077
14,5;280,55000022566105;281,12550889389234
14,625;280,6500002192812;281,6889099823412
14,75;275,9499995765252;280,1971838315832
14,875;272,5499997934403;279,6560884421968
15,0;272,650000258365;275,20073904726854
15,125;272,8500002456053;274,6625213716042
15,25;273,54999972964174;274,2573303870579
15,375;276,1499995637655;275,89709146772515
15,5;280,3499997671162;278,05228509610924
15,625;285,5499999950379;278,82450192142267
15,75;282,75000008530424;277,0390976951163
15,875;281,84999990707064;276,29460410058357
16,0;280,3499997671162;280,34456397172687
16,125;279,9499997926356;279,6956376501012
16,25;281,3499999389699;278,61962390178377
16,375;280,04999978625574;279,6709320805878
16,5;282,6500000916841;282,4043256271634
16,625;281,3499999389699;284,3184809881563
16,75;277,84999992661255;282,3929286994314
16,875;276,4500000159305;280,46071769234214
17,0;277,449999952132;277,0414222030336
17,125;274,6500001307679;276,56182518917376
17,25;274,8500001180082;276,4714630218394
17,375;274,45000014352763;277,7325755834788
17,5;276,25000002869024;280,1105596677404
17,625;276,75000046809555;280,9102235130178
17,75;272,45000027112474;278,5782856811476
17,875;268,9500000231151;277,5623986514889
18,0;268,45000052631895;271,33143973343135
18,125;269,850000437001;270,84522449688444
18,25;268,8500005007995;270,96456020979264
18,375;272,45000027112474;273,0768538289979
18,5;278,24999990109313;276,0400654950959
18,625;280,04999978625574;277,1478254749231
18,75;276,95000045533584;274,96998133615284
18,875;277,15000044257613;273,8794003805681
19,0;274,5499996658432;275,03971222599847
19,125;274,94999964032377;274,39082335979026
19,25;273,54999972964174;273,4194739325982
19,375;275,9499995765252;276,2149170781994
19,5;278,149999907473;280,1777875631623
19,625;279,0499998500543;282,02944104550164
19,75;277,2499999648917;279,41154469262204
19,875;276,4500000159305;277,30719948379925
20,0;276,75000046809555;275,2675331181327
20,125;276,05000004144995;274,6526026530093
20,25;275,4500000797291;273,8897715657501
20,375;275,54999960204464;275,6549118458339
20,5;275,85000005420966;279,160103126445
20,625;275,2500000924888;281,25881467934767
20,75;273,2500002200859;278,54661889211644
20,875;272,05000029664416;276,85515601413954
21,0;270,3499999337971;272,2436725871733
21,125;267,6500005773578;271,6441267453847
21,25;267,04999967302774;271,2500123968469
21,375;270,7499999082777;273,1951419880535
21,5;275,0500001052485;276,63746371807355
21,625;275,14999962756406;277,85694430423393
21,75;274,1499996913626;275,47107513895355
21,875;272,45000027112474;274,3723789954855
22,0;274,05000016904705;271,521845026194
22,125;272,8500002456053;270,7222243210556
22,25;273,2500002200859;269,68313487497477
22,375;273,85000018180676;272,5246983323448
22,5;275,14999962756406;276,89617148855547
22,625;274,5499996658432;279,0516215598414
22,75;274,3499996786029;277,10226839126005
22,875;272,8500002456053;274,8277611803676
23,0;272,8500002456053;272,5610864493501
23,125;273,0500002328456;271,8960869683868
23,25;272,8500002456053;271,2864024794114
23,375;272,25000028388445;273,02190447957304
23,5;273,4500002073262;276,32209217822157
23,625;272,3499998062;278,0323374073701
23,75;271,54999985723884;275,85854614261814
23,875;272,1499998189597;274,58261585326795
24,0;272,8500002456053;271,22589521669846
24,125;271,4500003349233;270,4989688052497
24,25;271,6500003221636;269,87699040462746
24,375;272,5499997934403;271,2880477500534
24,5;274,7499996530835;274,3049486236913
24,625;274,6500001307679;275,89191035421686
24,75;274,45000014352763;274,3167101304403
24,875;274,1499996913626;273,5283030699035
25,0;274,8500001180082;273,4901196213123
25,125;274,6500001307679;272,7121741697249
25,25;275,14999962756406;271,87223717025506
25,375;276,1499995637655;273,2819671573436
25,5;278,6499998755737;276,2172409114364
25,625;282,1499998879311;277,8340999286462
25,75;277,9499999202327;276,6748117156773
25,875;277,0499999776514;275,63716566895897
26,0;280,4500002320409;277,16987196929955
26,125;280,6500002192812;276,48736539402546
26,25;281,64999991983035;275,86699132987246
26,375;280,95000020014163;276,80071202867293
26,5;280,75000021290134;279,3325269759051
26,625;279,84999979901545;280,7969647213161
26,75;277,64999993937226;279,15201054464677
26,875;274,45000014352763;278,0921767389813
27,0;274,8500001180082;276,7990327024357
27,125;276,1499995637655;276,46416608566136
27,25;275,14999962756406;276,53842859154844
27,375;275,65000006696937;277,07235621911826
27,5;277,5499999457521;278,7123077868732
27,625;278,54999988195357;278,69490155322694
27,75;276,5499995382461;277,24502334548964
27,875;275,65000006696937;276,8822987204383
28,0;275,85000005420966;276,32545422092454
28,125;274,05000016904705;275,76742981788664
28,25;273,54999972964174;275,25010277779273
28,375;274,5499996658432;276,4391354502212
28,5;277,64999993937226;278,3422362038768
28,625;278,6499998755737;279,218691848202
28,75;276,5499995382461;277,87754508639557
28,875;279,14999984367444;277,2127812991362
29,0;277,449999952132;277,6019891155159
29,125;276,6500000031708;276,86101102480654
29,25;275,65000006696937;276,06020349476074
29,375;276,1499995637655;276,7270592798234
29,5;279,2499998372946;278,4458601184986
29,625;278,149999907473;279,88313054734425
29,75;276,6500000031708;278,6849826615444
29,875;274,8500001180082;278,1243450344152
30,0;274,5499996658432;275,85705566050495
30,125;275,0500001052485;275,24819176563454
